,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income
0,90,?,11.252261753742095,HS-grad,9,Widowed,?,Not-in-family,White,Female,40,<=50K
1,82,Private,11.797134011710416,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,18,<=50K
2,66,?,12.13383523048546,Some-college,10,Widowed,?,Unmarried,Black,Female,40,<=50K
3,54,Private,11.851965829697152,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,40,<=50K
4,41,Private,12.486216375943654,Some-college,10,Separated,Prof-specialty,Own-child,White,Female,40,<=50K
5,34,Private,12.287030319110098,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,45,<=50K
6,38,Private,11.922395874472233,10th,6,Separated,Adm-clerical,Unmarried,White,Male,40,<=50K
7,74,State-gov,11.392327220329026,Doctorate,16,Never-married,Prof-specialty,Other-relative,White,Female,20,>50K
8,68,Federal-gov,12.952793767823309,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,<=50K
9,41,Private,11.156793230880718,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,60,>50K
10,45,Private,12.056847316225408,Doctorate,16,Divorced,Prof-specialty,Unmarried,Black,Female,35,>50K
11,38,Self-emp-not-inc,12.010829969457697,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,45,>50K
12,52,Private,11.768946577193814,Bachelors,13,Widowed,Other-service,Not-in-family,White,Female,20,>50K
13,32,Private,11.821916382743257,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,55,>50K
14,51,?,12.056272488440174,Doctorate,16,Never-married,?,Not-in-family,White,Male,40,>50K
15,46,Private,10.72247411793522,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,40,>50K
16,45,Private,12.060023228346678,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,76,>50K
17,57,Private,12.669328560068527,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,50,>50K
18,22,Private,11.69184959035772,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,>50K
19,34,Private,12.221133656955478,Bachelors,13,Separated,Sales,Not-in-family,White,Male,50,>50K
20,37,Private,12.148311108671626,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,>50K
21,29,Private,11.251690562533296,11th,7,Separated,Sales,Not-in-family,White,Female,42,<=50K
22,61,Private,10.277117937124274,HS-grad,9,Divorced,Sales,Unmarried,White,Female,25,<=50K
23,51,Private,11.943869868022961,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
24,61,?,11.81514633504309,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,32,<=50K
25,21,Private,10.443221281449327,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K
26,33,Private,12.340153262303497,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,<=50K
27,49,Private,11.712325353298935,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K
28,37,Self-emp-inc,11.582124981771234,10th,6,Never-married,Transport-moving,Not-in-family,White,Male,50,>50K
29,38,Private,12.074601985280273,10th,6,Never-married,Prof-specialty,Not-in-family,White,Male,90,>50K
30,23,Private,10.693421095533761,Some-college,10,Separated,Other-service,Not-in-family,White,Male,40,>50K
31,59,Self-emp-inc,11.583272086390776,10th,6,Widowed,Exec-managerial,Unmarried,White,Female,50,>50K
32,52,Private,12.200376452985292,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Male,60,>50K
33,51,Private,11.720037190571402,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,50,>50K
34,60,Self-emp-not-inc,12.231969410886297,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,50,>50K
35,63,Federal-gov,10.575972736647978,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,Female,60,>50K
36,53,Private,11.916061195517122,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,48,>50K
37,51,Private,12.191791148704404,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,>50K
38,37,Self-emp-not-inc,11.83158281172133,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,>50K
39,54,Private,11.993448570006114,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,>50K
40,44,Private,12.695367128981715,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Male,50,>50K
41,43,Private,11.659680291344149,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,40,>50K
42,51,Private,11.653269846390483,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,40,>50K
43,43,Private,12.57649762299307,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,40,>50K
44,71,?,11.521101946254364,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,15,<=50K
45,48,Private,11.705642797946304,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,Female,70,>50K
46,71,Private,11.611693296564702,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,52,<=50K
47,73,Self-emp-not-inc,12.362576269298156,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,<=50K
48,68,?,12.165526654584093,Some-college,10,Married-civ-spouse,?,Wife,White,Female,40,<=50K
49,67,?,12.072518395501566,Some-college,10,Married-civ-spouse,?,Husband,White,Male,40,<=50K
50,40,Self-emp-not-inc,12.723526255586386,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,45,>50K
51,50,Private,12.378890854892319,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,72,>50K
52,51,State-gov,11.140396943108325,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Male,39,>50K
53,42,Private,11.583169553358738,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,>50K
54,39,Private,11.860655522427155,Masters,14,Never-married,Sales,Not-in-family,White,Male,45,>50K
55,32,Private,12.243700744993413,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,50,>50K
56,53,Private,12.654737718544547,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,45,>50K
57,40,Local-gov,11.900722066924857,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,40,>50K
58,38,Private,12.378381744541123,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,45,>50K
59,33,Private,12.180252147115654,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,42,>50K
60,43,Private,11.951870480318997,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,70,>50K
61,50,Self-emp-inc,11.707192061532051,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,40,>50K
62,44,Private,11.995530610539403,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,6,>50K
63,51,Self-emp-not-inc,11.987450109009888,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,>50K
64,41,Private,11.792245170087133,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
65,60,Self-emp-inc,12.329864260133725,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70,>50K
66,37,Private,12.70679035602754,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K
67,55,Self-emp-inc,11.729149128995266,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,>50K
68,39,Self-emp-inc,12.70679035602754,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,60,>50K
69,42,Self-emp-inc,12.142616205398392,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K
70,49,Private,12.201210846113266,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,55,>50K
71,47,Self-emp-not-inc,11.88649390682785,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
72,41,Local-gov,12.602325450375798,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K
73,55,Self-emp-inc,12.336473518186324,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
74,39,Private,12.099222131486982,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,>50K
75,42,Private,11.947139986364379,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K
76,41,?,10.21053097846653,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,12,>50K
77,46,Private,12.697281104800696,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,65,>50K
78,40,Private,11.985238924502854,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
79,32,Private,12.89105155642227,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,>50K
80,41,Self-emp-inc,11.925630964733887,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K
81,60,Self-emp-inc,12.725428780801517,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,>50K
82,31,Private,12.539024406829439,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,>50K
83,58,Self-emp-not-inc,10.674104903862972,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,>50K
84,37,Self-emp-inc,10.326465085728923,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,>50K
85,44,Self-emp-not-inc,12.214749889123818,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
86,39,Self-emp-not-inc,12.294500102738104,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
87,43,Federal-gov,11.963981975867625,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,>50K
88,55,Self-emp-inc,12.606357693596795,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
89,44,Self-emp-inc,12.163754741027617,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K
90,39,Private,12.199324930822792,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,>50K
91,46,Self-emp-not-inc,11.535752924609598,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,>50K
92,39,Private,12.761456634880346,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,>50K
93,62,Self-emp-inc,10.937543542130863,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,>50K
94,31,Self-emp-not-inc,12.440168006248479,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,40,>50K
95,46,Private,12.17025892199101,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35,>50K
96,46,Self-emp-not-inc,12.199853345716257,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,>50K
97,39,Self-emp-inc,11.87146666636667,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K
98,39,Private,12.378823549384178,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,99,>50K
99,59,Private,11.31362050313586,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K
100,50,Self-emp-inc,12.030492315522554,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K
101,46,Private,13.030386236848337,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K
102,53,Self-emp-not-inc,11.566267159952051,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
103,50,Self-emp-not-inc,10.654974393434033,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,>50K
104,41,Self-emp-inc,11.649037275451104,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,55,>50K
105,36,Private,12.755577489714867,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,45,>50K
106,38,Private,12.143510836076794,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,90,>50K
107,54,Private,10.479454640632905,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,50,>50K
108,50,Private,11.536124279472752,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,20,>50K
109,47,Private,11.911674738929662,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K
110,47,Self-emp-inc,11.535752924609598,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K
111,67,Private,11.564122254701354,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,40,>50K
112,67,Self-emp-inc,11.572853373550116,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,>50K
113,72,Self-emp-not-inc,10.861668508170467,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,25,>50K
114,72,?,11.686063313647365,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,6,>50K
115,46,Self-emp-inc,12.165141270028037,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K
116,78,Self-emp-inc,12.144436574871772,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
117,71,Self-emp-inc,11.106835161468146,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K
118,83,Self-emp-inc,11.939395092192235,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K
119,68,Private,12.260977410699459,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K
120,26,Private,12.109870067657113,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,<=50K
121,68,State-gov,12.371091198364917,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K
122,49,Self-emp-inc,11.974682685861989,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,>50K
123,36,Private,12.823331809057661,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,<=50K
124,70,Self-emp-not-inc,11.952096105543564,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,12,>50K
125,27,Private,11.96091990926103,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20,<=50K
126,35,Local-gov,12.085632332437253,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K
127,23,Private,12.001174136557236,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K
128,81,Private,12.086213080377966,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,>50K
129,66,Self-emp-not-inc,12.96552943417688,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,25,>50K
130,71,Private,11.93366006540916,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
131,68,Private,12.295172673103105,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,55,>50K
132,68,State-gov,12.21948233244009,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,>50K
133,65,?,12.391962827201153,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,40,>50K
134,52,Private,12.312259819411919,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,40,<=50K
