,math score,reading score,writing score,gender_female,gender_male,race/ethnicity_group A,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_associate's degree,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_free/reduced,lunch_standard,test preparation course_completed,test preparation course_none
0,72,72,74,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
1,69,90,88,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
2,90,95,93,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
3,47,57,44,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
4,76,78,75,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
5,71,83,78,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
6,88,95,92,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
7,40,43,39,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
8,64,64,67,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
9,38,60,50,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
10,58,54,52,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
11,40,52,43,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
12,65,81,73,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
13,78,72,70,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
14,50,53,58,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
15,69,75,78,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
16,88,89,86,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
17,18,32,28,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True
18,46,42,46,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
19,54,58,61,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
20,66,69,63,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
21,65,75,70,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
22,44,54,53,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
23,69,73,73,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
24,74,71,80,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
25,73,74,72,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
26,69,54,55,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
27,67,69,75,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
28,70,70,65,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
29,62,70,75,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
30,69,74,74,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
31,63,65,61,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
32,56,72,65,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
33,40,42,38,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
34,97,87,82,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
35,81,81,79,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
36,74,81,83,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
37,50,64,59,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
38,75,90,88,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
39,57,56,57,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
40,55,61,54,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True
41,58,73,68,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
42,53,58,65,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
43,59,65,66,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
44,50,56,54,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
45,65,54,57,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
46,55,65,62,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
47,66,71,76,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
48,57,74,76,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
49,82,84,82,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
50,53,55,48,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
51,77,69,68,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
52,53,44,42,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
53,88,78,75,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
54,71,84,87,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False
55,33,41,43,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
56,82,85,86,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
57,52,55,49,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
58,58,59,58,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
59,0,17,10,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
60,79,74,72,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False
61,39,39,34,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True
62,62,61,55,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
63,69,80,71,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
64,59,58,59,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
65,67,64,61,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True
66,45,37,37,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
67,60,72,74,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
68,61,58,56,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
69,39,64,57,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
70,58,63,73,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
71,63,55,63,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
72,41,51,48,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
73,61,57,56,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
74,49,49,41,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
75,44,41,38,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
76,30,26,22,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
77,80,78,81,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
78,61,74,72,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
79,62,68,68,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
80,47,49,50,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True
81,49,45,45,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
82,50,47,54,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
83,72,64,63,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
84,42,39,34,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
85,73,80,82,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
86,76,83,88,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
87,71,71,74,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
88,58,70,67,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
89,73,86,82,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
90,65,72,74,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
